Country,Internet Subscriptions (Fixed) (2012),Internet Subscriptions (Fixed) (Per Capita) (2012),Internet Subscriptions (Mobile) (2012),Internet Subscriptions (Mobile) (Per Capita) (2012)
China,174285380,0.13,231614860,0.172
United States,87974583,0.28,234412672,0.747
Japan,35556075,0.279,144077507,1.131
Germany,27674074,0.34,33336214,0.41
France,24780180,0.378,34233625,0.522
United Kingdom,21455580,0.34,45419806,0.72
Russia,20630858,0.145,75344817,0.529
South Korea,18354447,0.376,51810697,1.06
Brazil,18275780,0.092,73021400,0.366
India,13701687,0.011,59048607,0.049
Italy,13548539,0.221,31710663,0.518
Mexico,12588657,0.109,11180208,0.097
Spain,11410276,0.243,25044744,0.532
Canada,11282326,0.329,17163076,0.5
Turkey,8411176,0.105,13017505,0.163
Netherlands,6598394,0.394,10202005,0.61
Poland,6388846,0.166,18921448,0.493
Taiwan,5548270,0.239,10715720,0.461
Australia,5516663,0.251,21184928,0.962
Argentina,4592231,0.109,5233135,0.124
Vietnam,4535696,0.05,17378598,0.19
Thailand,4182458,0.062,95940,0.001
Colombia,3781987,0.084,2237977,0.049
Ukraine,3636319,0.081,2465179,0.055
Belgium,3560000,0.341,3520543,0.337
Romania,3473257,0.159,5179188,0.237
Switzerland,3317304,0.419,3281402,0.414
Iran,3208379,0.041,?,#VALUE!
Indonesia,3030983,0.012,79225759,0.319
Sweden,2929963,0.322,9219679,1.013
Belarus,2561813,0.266,3167236,0.328
Greece,2532270,0.235,4789637,0.445
Malaysia,2447906,0.084,3945130,0.135
Portugal,2409117,0.223,3500632,0.325
Philippines,2308994,0.022,3969394,0.038
Hungary,2283075,0.229,2299506,0.231
Egypt,2279666,0.027,22471109,0.269
* Hong Kong*,2257221,0.316,5256334,0.735
Chile,2122498,0.124,4771695,0.28
Denmark,2118541,0.382,4851519,0.875
Austria,2074252,0.252,4564834,0.555
Venezuela,1889309,0.067,1332277,0.048
Saudi Arabia,1817083,0.068,11351726,0.428
