Country,GDP (Nominal) (Per Capita) (2013) (in US Dollars) (by CIA)
Monaco,159400
Liechtenstein,139300
Luxembourg,117600
Qatar,104300
Norway,101400
* Macau*,87300
Switzerland,80800
United Arab Emirates,70900
Kuwait,66500
Australia,65100
Denmark,58300
San Marino,57900
* Jersey*,57600
Sweden,57200
Singapore,54700
* Falkland Islands*[8],53000
United States,52800
Canada,52100
Finland,49200
Austria,49100
* Isle of Man*,47800
Netherlands,47600
* Cayman Islands*,47000
Iceland,46200
Ireland,46000
Belgium,45600
* Faroe Islands*,45300
Germany,44300
* Guernsey*,43400
France,41700
New Zealand,40600
Brunei,39800
United Kingdom,39600
"* Virgin Islands, British*",38900
* Gibraltar*,38800
Japan,38500
* Hong Kong*,38100
* Greenland*,37500
* Cura‡ao*,36800
* New Caledonia*,35700
Israel,35400
* European Union*,34000
Italy,33600
* Guam*,28700
Spain,28600
"Bahamas, The",26200
Oman,26000
"Korea, South",25900
Cyprus,25200
Saudi Arabia,24800
Equatorial Guinea,24200
* Puerto Rico*,23500
* Aruba*,23400
Slovenia,22700
Malta,22600
Bahrain,22100
Trinidad and Tobago,22000
* Sint Maarten*,21900
Greece,21800
Portugal,21000
Taiwan,20900
* French Polynesia*,20600
Estonia,18300
Slovakia,17700
Chile,17100
Uruguay,15800
Latvia,15400
Lithuania,15300
Saint Kitts and Nevis,15000
Barbados,14700
Russia,14600
* Northern Mariana Islands*,14300
Seychelles,14000
Antigua and Barbuda,13500
* Cook Islands*,13500
Croatia,13400
Poland,13300
Hungary,13100
Venezuela,12900
Kazakhstan,12700
* Anguilla*,12500
Gabon,12200
Libya,11800
Panama,11400
Argentina,11300
Brazil,11100
Turkey,10700
Mexico,10600
Lebanon,10500
Palau,10500
Malaysia,10400
*World*,10400
Costa Rica,10300
Mauritius,9000
Romania,8900
Suriname,8800
Saint Lucia,8400
Colombia,8100
Azerbaijan,7900
Turkmenistan,7800
Belarus,7500
Grenada,7400
* American Samoa*,7400
Botswana,7300
Bulgaria,7300
Saint Vincent and the Grenadines,7100
China,6800
Montenegro,6800
Dominica,6700
Peru,6700
Angola,6600
Iraq,6600
South Africa,6600
Cuba,6500
Serbia,6000
Ecuador,5900
Dominican Republic,5800
Maldives,5800
Guyana,5800
Algeria,5700
Namibia,5600
Thailand,5600
Jordan,5300
Iran,5200
East Timor,5200
"Macedonia, Republic of",5000
Belize,4900
Jamaica,4900
Bosnia and Herzegovina,4800
Fiji,4700
* Niue*[9],4700
Paraguay,4600
Tonga,4500
Albania,4400
Tunisia,4400
El Salvador,4000
Mongolia,3900
* Kosovo*,3800
Ukraine,3800
Cape Verde,3700
Guatemala,3700
Samoa,3600
Tuvalu,3600
Georgia,3600
Indonesia,3500
Armenia,3400
"Micronesia, Federated States of",3200
Morocco,3200
"Congo, Republic of the",3100
Egypt,3100
Vanuatu,3100
Sri Lanka,3000
Bhutan,2900
Syria,2900
Bolivia,2800
Marshall Islands,2800
Swaziland,2700
Philippines,2600
Papua New Guinea,2500
Honduras,2200
Moldova,2200
Uzbekistan,1900
Nicaragua,1900
Vietnam,1900
Djibouti,1800
Ghana,1800
Solomon Islands,1800
Kiribati,1700
Nigeria,1700
S?o Tom‚ and Pr¡ncipe,1700
Yemen,1700
* West Bank and Gaza*,1700
Zambia,1600
Laos,1500
Sudan,1500
India,1500
C“te d'Ivoire,1300
Kyrgyzstan,1300
Lesotho,1300
Pakistan,1300
Cameroon,1200
"Korea, North",1200
Mauritania,1200
Senegal,1200
Chad,1200
Cambodia,1000
Kenya,1000
Tajikistan,1000
South Sudan,1000
Burma,900
Bangladesh,900
Comoros,900
Benin,800
Haiti,800
Sierra Leone,800
Zimbabwe,800
Afghanistan,700
Burkina Faso,700
Mali,700
Tanzania,700
Guinea,600
Mozambique,600
Nepal,600
Somalia,600
Rwanda,600
Eritrea,500
"Gambia, The",500
Guinea-Bissau,500
Togo,500
Uganda,500
Central African Republic,400
Ethiopia,400
Madagascar,400
Niger,400
Liberia,400
Burundi,300
"Congo, Democratic Republic of the",300
Malawi,300
