Rank,Country/Region,GDP (Millions of US$),Year
,*World*,"*71,830,000*",*2012 est.*
9999999,* European Union*[n 4],"700716417100000000016,417,100",2012 est.
1,United States,"700715680000000000015,680,000",2012 est.
2,China,"70068227000000000008,227,000",2012 est.
3,Japan,"70065964000000000005,964,000",2012 est.
4,Germany,"70063401000000000003,401,000",2012 est.
5,France,"70062609000000000002,609,000",2012 est.
6,United Kingdom,"70062441000000000002,441,000",2012 est.
7,Brazil,"70062396000000000002,396,000",2012 est.
8,Russia,"70062053000000000002,053,000",2012 est.
9,Italy,"70062014000000000002,014,000",2012 est.
10,India,"70061872000000000001,872,000",2012 est.
11,Canada,"70061819000000000001,819,000",2012 est.
12,Australia,"70061542000000000001,542,000",2012 est.
13,Spain,"70061352000000000001,352,000",2012 est.
14,Mexico,"70061177000000000001,177,000",2012 est.
15,South Korea,"70061156000000000001,156,000",2012 est.
16,Indonesia,"7005878200000000000878,200",2012 est.
17,Turkey,"7005794500000000000794,500",2012 est.
18,Netherlands,"7005773100000000000773,100",2012 est.
19,Saudi Arabia,"7005727300000000000727,300",2012 est.
20,Switzerland,"7005632400000000000632,400",2012 est.
21,Iran,"7005548900000000000548,900",2012 est.
22,Sweden,"7005526200000000000526,200",2012 est.
23,Norway,"7005501100000000000501,100",2012 est.
24,Poland,"7005487700000000000487,700",2012 est.
25,Belgium,"7005484700000000000484,700",2012 est.
26,Argentina,"7005475000000000000475,000",2012 est.
27,Taiwan,"7005474000000000000474,000",2012 est.
28,Austria,"7005398600000000000398,600",2012 est.
29,South Africa,"7005384300000000000384,300",2012 est.
30,Venezuela,"7005382400000000000382,400",2012 est.
31,Colombia,"7005366000000000000366,000",2012 est.
32,Thailand,"7005365600000000000365,600",2012 est.
33,United Arab Emirates,"7005358900000000000358,900",2012 est.
34,Denmark,"7005313600000000000313,600",2012 est.
35,Malaysia,"7005303500000000000303,500",2012 est.
36,Singapore,"7005276500000000000276,500",2012 est.
37,Nigeria,"7005268700000000000268,700",2012 est.
38,Chile,"7005268200000000000268,200",2012 est.
9999999,* Hong Kong*,"7005263000000000000263,000",2012 est.
39,Egypt,"7005256700000000000256,700",2012 est.
40,Philippines,"7005250400000000000250,400",2012 est.
41,Finland,"7005250100000000000250,100",2012 est.
42,Greece,"7005249200000000000249,200",2012 est.
43,Israel,"7005240900000000000240,900",2012 est.
44,Pakistan,"7005231900000000000231,900",2012 est.
45,Portugal,"7005212700000000000212,700",2012 est.
