Rank,Country/Region,GDP (Millions of US$)
,*World*,"*73,982,138*[5]"
9999999,* European Union*[n 4],"17,371,618[8]"
1,United States,"700716799700000000016,799,700"
2,China,"70069181377000000009,181,377[n 5]"
3,Japan,"70064901532000000004,901,532"
4,Germany,"70063635959000000003,635,959"
5,France,"70062737361000000002,737,361"
6,United Kingdom,"70062535761000000002,535,761"
7,Brazil,"70062242854000000002,242,854"
8,Russia,"70062118006000000002,118,006"
9,Italy,"70062071955000000002,071,955"
10,India,"70061870002000000001,870,002"
11,Canada,"70061825096000000001,825,096"
12,Australia,"70061505277000000001,505,277"
13,Spain,"70061358687000000001,358,687"
14,Mexico,"70061258544000000001,258,544"
15,South Korea,"70061221801000000001,221,801"
16,Indonesia,"7005870275000000000870,275"
17,Turkey,"7005827209000000000827,209"
18,Netherlands,"7005800007000000000800,007"
19,Saudi Arabia,"7005745273000000000745,273"
20,Switzerland,"7005650814000000000650,814"
21,Sweden,"7005557938000000000557,938"
22,Poland,"7005516128000000000516,128"
23,Norway,"7005511252000000000511,252"
24,Belgium,"7005506560000000000506,560"
25,Taiwan,"7005489213000000000489,213"
26,Argentina,"7005488213000000000488,213"
27,Austria,"7005415366000000000415,366"
28,United Arab Emirates,"7005396235000000000396,235"
29,Thailand,"7005387156000000000387,156"
30,Colombia,"7005381822000000000381,822"
31,Venezuela,"7005373978000000000373,978"
32,Iran,"7005366259000000000366,259"
33,South Africa,"7005350779000000000350,779"
34,Denmark,"7005330958000000000330,958"
35,Malaysia,"7005312433000000000312,433"
36,Singapore,"7005295744000000000295,744"
37,Israel,"7005291500000000000291,500"
38,Nigeria,"7005510000000000000510,000"
39,Chile,"7005276975000000000276,975"
9999999,Hong Kong,"7005273658000000000273,658"
40,Philippines,"7005272018000000000272,018"
41,Egypt,"7005271427000000000271,427"
42,Finland,"7005256922000000000256,922"
43,Greece,"7005241796000000000241,796"
44,Pakistan,"7005238737000000000238,737"
45,Iraq,"7005229327000000000229,327"
46,Kazakhstan,"7005220347000000000220,347"
47,Portugal,"7005219972000000000219,972"
48,Ireland,"7005217884000000000217,884"
49,Peru,"7005206542000000000206,542"
50,Algeria,"7005206095000000000206,095"
51,Qatar,"7005202561000000000202,561"
52,Czech Republic,"7005198312000000000198,312"
53,Romania,"7005189659000000000189,659"
54,Kuwait,"7005185319000000000185,319"
55,New Zealand,"7005181330000000000181,330"
56,Ukraine,"7005176235000000000176,235"
57,Vietnam,"7005170565000000000170,565"
58,Bangladesh,"7005141275000000000141,275"
59,Hungary,"7005132426000000000132,426"
60,Angola,"7005121704000000000121,704"
61,Morocco,"7005105101000000000105,101"
62,Slovakia,"700495805000000000095,805"
63,Ecuador,"700494144000000000094,144"
64,Oman,"700480571000000000080,571"
65,Azerbaijan,"700473537000000000073,537"
66,Belarus,"700471710000000000071,710"
67,Sudan,"700470127000000000070,127"
68,Libya,"700467622000000000067,622"
69,Sri Lanka,"700465833000000000065,833"
70,Dominican Republic,"700460765000000000060,765"
71,Luxembourg,"700459838000000000059,838"
72,Croatia,"700458058000000000058,058"
73,Uzbekistan,"700456476000000000056,476"
74,Burma,"700456408000000000056,408"
75,Uruguay,"700456345000000000056,345"
76,Guatemala,"700454383000000000054,383"
77,Bulgaria,"700453046000000000053,046"
78,Costa Rica,"700449621000000000049,621"
79,Ethiopia,"700448145000000000048,145"
80,Lithuania,"700447560000000000047,560"
81,Tunisia,"700447439000000000047,439"
82,Slovenia,"700446851000000000046,851"
83,Kenya,"700445082000000000045,082"
84,Lebanon,"700444318000000000044,318"
85,Ghana,"700444223000000000044,223"
86,Serbia,"700442525000000000042,525"
87,Turkmenistan,"700440569000000000040,569"
88,Panama,"700440329000000000040,329"
89,Yemen,"700439152000000000039,152"
90,Jordan,"700433860000000000033,860"
91,Tanzania,"700432536000000000032,536"
92,Bahrain,"700432215000000000032,215"
93,Latvia,"700430953000000000030,953"
94,"Congo, Democratic Republic of the","700430639000000000030,639"
95,Bolivia,"700429802000000000029,802"
96,Paraguay,"700428333000000000028,333"
97,Cote d'Ivoire C“te d'Ivoire,"700428288000000000028,288"
98,Cameroon,"700427957000000000027,957"
99,Trinidad and Tobago,"700427703000000000027,703"
100,El Salvador,"700424512000000000024,512"
101,Estonia,"700424484000000000024,484"
102,Uganda,"700423053000000000023,053"
103,Zambia,"700422416000000000022,416"
104,Cyprus,"700421827000000000021,827"
105,Afghanistan,"700420735000000000020,735"
106,Nepal,"700419341000000000019,341"
107,Gabon,"700419228000000000019,228"
108,Honduras,"700418813000000000018,813"
109,Bosnia and Herzegovina,"700417828000000000017,828"
110,Brunei,"700416214000000000016,214"
111,Georgia,"700416162000000000016,162"
112,Papua New Guinea,"700415973000000000015,973"
113,Cambodia,"700415659000000000015,659"
114,Equatorial Guinea,"700415574000000000015,574"
115,Mozambique,"700415329000000000015,329"
116,Senegal,"700415154000000000015,154"
117,Botswana,"700414837000000000014,837"
118,Iceland,"700414656000000000014,656"
119,Jamaica,"700414288000000000014,288"
120,"Congo, Republic of the","700413781000000000013,781"
121,South Sudan,"700413734000000000013,734"
122,Chad,"700413411000000000013,411"
123,Zimbabwe,"700412951000000000012,951"
124,Albania,"700412850000000000012,850"
125,Namibia,"700412318000000000012,318"
126,Burkina Faso,"700412247000000000012,247"
127,Mauritius,"700411930000000000011,930"
128,Mongolia,"700411516000000000011,516"
129,Nicaragua,"700411272000000000011,272"
130,Madagascar,"700411210000000000011,210"
131,Mali,"700411070000000000011,070"
132,Armenia,"700410547000000000010,547"
133,"Macedonia, Republic of","700410238000000000010,238"
134,Laos,"700410002000000000010,002"
135,Malta,"70039545000000000009,545"
136,Tajikistan,"70038497000000000008,497"
137,Haiti,"70038458000000000008,458"
138,"Bahamas, The","70038367000000000008,367"
139,Benin,"70038310000000000008,310"
140,Moldova,"70037935000000000007,935"
141,Rwanda,"70037431000000000007,431"
142,Niger,"70037359000000000007,359"
143,Kyrgyzstan,"70037225000000000007,225"
144,Kosovo,"70036827000000000006,827"
145,Guinea,"70036282000000000006,282"
146,Timor-Leste,"70036147000000000006,147"
147,Suriname,"70035057000000000005,057"
148,Sierra Leone,"70034788000000000004,788"
149,Montenegro,"70034377000000000004,377"
150,Togo,"70034360000000000004,360"
151,Barbados,"70034284000000000004,284"
152,Mauritania,"70034187000000000004,187"
153,Fiji,"70034037000000000004,037"
154,Malawi,"70033814000000000003,814"
155,Swaziland,"70033620000000000003,620"
156,Eritrea,"70033444000000000003,444"
157,Guyana,"70032970000000000002,970"
158,Burundi,"70032723000000000002,723"
159,Lesotho,"70032276000000000002,276"
159,Maldives,"70032276000000000002,276"
161,Bhutan,"70031985000000000001,985"
162,Liberia,"70031933000000000001,933"
163,Cape Verde,"70031920000000000001,920"
164,San Marino,"70031802000000000001,802"
165,Belize,"70031604000000000001,604"
166,Central African Republic,"70031538000000000001,538"
167,Djibouti,"70031457000000000001,457"
168,Seychelles,"70031398000000000001,398"
169,Saint Lucia,"70031317000000000001,317"
170,Antigua and Barbuda,"70031212000000000001,212"
171,Solomon Islands,"70031097000000000001,097"
172,"Gambia, The",7002850000000000000850
173,Guinea-Bissau,7002845000000000000845
174,Vanuatu,7002821000000000000821
175,Grenada,7002814000000000000814
176,Saint Kitts and Nevis,7002767000000000000767
177,Saint Vincent and the Grenadines,7002720000000000000720
178,Samoa,7002705000000000000705
179,Comoros,7002652000000000000652
180,Dominica,7002498000000000000498
181,Tonga,7002477000000000000477
182,Federated States of Micronesia,7002333000000000000333
183,Sao Tome and Principe S?o Tom‚ and Pr¡ncipe,7002308000000000000308
184,Palau,7002246000000000000246
185,Marshall Islands,7002175000000000000175
186,Kiribati,7002172000000000000172
187,Tuvalu,700138000000000000038
9999999,Syria,50000000000000000000 n/a
