Rank,Country/Region,GDP (Millions of US$),,
,*World*,"*72,689,734*",,
1,United States,"700716244600000000016,244,600",,
2,China,"70068358400000000008,358,400",,
3,Japan,"70065960180000000005,960,180",,
4,Germany,"70063425956000000003,425,956",,
5,France,"70062611221000000002,611,221",,
6,United Kingdom,"70062498000000000002,498,000",,
7,Brazil,"70062254109000000002,254,109",,
8,Italy,"70062171000000000002,171,000",,
9,Russia,"70062092000000000002,092,000",,
10,India,"70061872000000000001,872,000",,
11,Canada,"70061821445000000001,821,445",,
12,Australia,"70061564419000000001,564,419",,
13,Spain,"70061456126000000001,456,126",,
14,Mexico,"70061183655000000001,183,655",,
15,South Korea,"70061129598000000001,129,598",,
16,Indonesia,"7005878043000000000878,043",,
17,Netherlands,"7005800535000000000800,535",,
18,Turkey,"7005788299000000000788,299",,
19,Saudi Arabia,"7005711050000000000711,050",,
20,Switzerland,"7005631183000000000631,183",,
21,Iran,"7005551588000000000551,588",,
22,Sweden,"7005523804000000000523,804",,
23,Norway,"7005499667000000000499,667",,
24,Poland,"7005489852000000000489,852",,
25,Belgium,"7005483402000000000483,402",,
26,Argentina,"7005477028000000000477,028",,
27,Austria,"7005394458000000000394,458",,
28,Thailand,"7005385694000000000385,694",,
29,South Africa,"7005384313000000000384,313",,
30,United Arab Emirates,"7005383799000000000383,799",,
31,Venezuela,"7005382424000000000382,424",,
32,Colombia,"7005369813000000000369,813",,
33,Denmark,"7005314889000000000314,889",,
34,Malaysia,"7005304726000000000304,726",,
35,Singapore,"7005276520000000000276,520",,
36,Chile,"7005268314000000000268,314",,
9999999,* Hong Kong*,"7005263259000000000263,259",,
37,Nigeria,"7005286470000000000286,470",,
38,Egypt,"7005254671000000000254,671",,
39,Philippines,"7005250182000000000250,182",,
40,Greece,"7005248941000000000248,941",,
41,Finland,"7005247389000000000247,389",,
42,Israel,"7005241069000000000241,069",,
43,Pakistan,"7005215117000000000215,117",,
44,Portugal,"7005212139000000000212,139",,
45,Ireland,"7005210638000000000210,638",,
46,Algeria,"7005207021000000000207,021",,
47,Peru,"7005204681000000000204,681",,
48,Kazakhstan,"7005202656000000000202,656",,
49,Czech Republic,"7005196446000000000196,446",,
50,Qatar,"7005192402000000000192,402",,
51,Kuwait,"7005183219000000000183,219",,
52,Ukraine,"7005176309000000000176,309",,
53,New Zealand,"7005171256000000000171,256",,
54,Romania,"7005169396000000000169,396",,
55,Vietnam,"7005155820000000000155,820",,
56,Iraq,"7005149370000000000149,370",,
57,Bangladesh,"7005127195000000000127,195",,
58,Hungary,"7005124600000000000124,600",,
59,Angola,"7005116308000000000116,308",,
9999999,* Puerto Rico*,"7005103516000000000103,516",,
60,Morocco,"700495992000000000095,992",,
61,Libya,"700495802000000000095,802",,
62,Slovakia,"700491349000000000091,349",,
63,Ecuador,"700487495000000000087,495",,
64,Oman,"700478111000000000078,111",,
65,Cuba,"700471017000000000071,017",,
66,Azerbaijan,"700468727000000000068,727",,
67,Belarus,"700463259000000000063,259",,
68,Myanmar,"700459444000000000059,444",,
69,Sri Lanka,"700459421000000000059,421",,
70,Dominican Republic,"700458898000000000058,898",,
71,Croatia,"700456447000000000056,447",,
72,Luxembourg,"700455143000000000055,143",,
73,Sudan,"700451453000000000051,453",,
74,Uzbekistan,"700451414000000000051,414",,
75,Bulgaria,"700450972000000000050,972",,
76,Guatemala,"700450377000000000050,377",,
77,Uruguay,"700449919000000000049,919",,
78,Syria,"700446540000000000046,540",,
79,Slovenia,"700445380000000000045,380",,
80,Tunisia,"700445132000000000045,132",,
81,Costa Rica,"700445107000000000045,107",,
9999999,* Macau*,"700443582000000000043,582",,
82,Sierra Leone,"700443366000000000043,366",,
83,Lebanon,"700442490000000000042,490",,
84,Lithuania,"700442339000000000042,339",,
85,Ethiopia,"700441605000000000041,605",,
86,Ghana,"700440711000000000040,711",,
87,Kenya,"700440697000000000040,697",,
88,Serbia,"700438491000000000038,491",,
89,Panama,"700436253000000000036,253",,
90,Turkmenistan,"700433466000000000033,466",,
91,Yemen,"700432831000000000032,831",,
92,Jordan,"700430937000000000030,937",,
93,Bahrain,"700430362000000000030,362",,
94,Latvia,"700428379000000000028,379",,
95,Tanzania,"700428249000000000028,249",,
96,Bolivia,"700427035000000000027,035",,
97,Cameroon,"700426094000000000026,094",,
98,Paraguay,"700425935000000000025,935",,
99,Cote d'Ivoire C“te d'Ivoire,"700424406000000000024,406",,
100,Gabon,"700424076000000000024,076",,
101,El Salvador,"700423864000000000023,864",,
102,Trinidad and Tobago,"700423225000000000023,225",,
103,Cyprus,"700422768000000000022,768",,
104,Estonia,"700422376000000000022,376",,
105,Uganda,"700421736000000000021,736",,
106,Zambia,"700421490000000000021,490",,
107,Afghanistan,"700420364000000000020,364",,
108,"Congo, Democratic Republic of the","700418823000000000018,823",,
109,Honduras,"700418564000000000018,564",,
110,Nepal,"700418029000000000018,029",,
111,Bosnia and Herzegovina,"700417319000000000017,319",,
112,Brunei,"700416954000000000016,954",,
113,Georgia,"700415830000000000015,830",,
114,Papua New Guinea,"700415677000000000015,677",,
115,Jamaica,"700414795000000000014,795",,
116,"Congo, Republic of the","700414763000000000014,763",,
117,Mozambique,"700414605000000000014,605",,
118,Equatorial Guinea,"700414491000000000014,491",,
119,North Korea,"700414411000000000014,411",,
120,Botswana,"700414410000000000014,410",,
121,Cambodia,"700414038000000000014,038",,
122,Senegal,"700413962000000000013,962",,
123,Iceland,"700413579000000000013,579",,
124,Namibia,"700412807000000000012,807",,
125,Albania,"700412044000000000012,044",,
126,Mauritius,"700411452000000000011,452",,
127,Burkina Faso,"700410687000000000010,687",,
128,Nicaragua,"700410508000000000010,508",,
129,Mongolia,"700410271000000000010,271",,
130,Mali,"700410262000000000010,262",,
9999999,* Palestinian Territory*,"700410255000000000010,255",,
131,Chad,"700410183000000000010,183",,
132,South Sudan,"700410060000000000010,060",,
133,Madagascar,"70039968000000000009,968",,
134,Armenia,"70039950000000000009,950",,
9999999,* New Caledonia*,"70039840000000000009,840",,
135,Zimbabwe,"70039802000000000009,802",,
136,"Macedonia, Republic of","70039576000000000009,576",,
137,Laos,"70039100000000000009,100",,
138,Malta,"70038775000000000008,775",,
139,Bahamas,"70038043000000000008,043",,
140,Tajikistan,"70037633000000000007,633",,
141,Benin,"70037557000000000007,557",,
142,Moldova,"70037253000000000007,253",,
143,Haiti,"70037187000000000007,187",,
9999999,* French Polynesia*,"70037150000000000007,150",,
144,Rwanda,"70037103000000000007,103",,
145,Niger,"70036773000000000006,773",,
9999999,Kosovo,"70036499000000000006,499",,
146,Kyrgyzstan,"70036475000000000006,475",,
147,Guinea,"70036092000000000006,092",,
148,Liechtenstein,"70035827000000000005,827",,
149,Monaco,"70035707000000000005,707",,
150,Malawi,"70035653000000000005,653",,
9999999,* Bermuda*,"70035593000000000005,593",,
151,Timor-Leste,"70035387000000000005,387",,
152,Suriname,"70035012000000000005,012",,
153,Barbados,"70034533000000000004,533",,
154,Montenegro,"70034046000000000004,046",,
9999999,* Netherlands Antilles*,"70034009000000000004,009",,
155,Fiji,"70033999000000000003,999",,
156,Togo,"70033917000000000003,917",,
157,Mauritania,"70033866000000000003,866",,
158,Swaziland,"70033861000000000003,861",,
9999999,* Cayman Islands*,"70033393000000000003,393",,
159,Andorra,"70033222000000000003,222",,
160,Eritrea,"70033108000000000003,108",,
161,Guyana,"70032851000000000002,851",,
162,Maldives,"70032606000000000002,606",,
9999999,* Aruba*,"70032544000000000002,544",,
163,Lesotho,"70032443000000000002,443",,
9999999,* Greenland*,"70032343000000000002,343",,
164,Burundi,"70032257000000000002,257",,
165,Central African Republic,"70032184000000000002,184",,
166,Cape Verde,"70031903000000000001,903",,
167,Bhutan,"70031861000000000001,861",,
168,San Marino,"70031853000000000001,853",,
169,Belize,"70031554000000000001,554",,
170,Liberia,"70031491000000000001,491",,
171,Djibouti,"70031361000000000001,361",,
172,Saint Lucia,"70031318000000000001,318",,
173,Somalia,"70031306000000000001,306",,
174,Antigua and Barbuda,"70031176000000000001,176",,
175,Seychelles,"70031031000000000001,031",,
176,Solomon Islands,"70031010000000000001,010",,
177,"Gambia, The",7002917000000000000917,,
9999999,* British Virgin Islands*,7002909000000000000909,,
178,Guinea-Bissau,7002849000000000000849,,
179,Grenada,7002783000000000000783,,
180,Saint Kitts and Nevis,7002765000000000000765,,
9999999,* Zanzibar*,7002755000000000000755,,
181,Vanuatu,7002752000000000000752,,
9999999,* Turks and Caicos Islands*,7002728000000000000728,,
182,Saint Vincent and the Grenadines,7002694000000000000694,,
183,Samoa,7002681000000000000681,,
184,Comoros,7002616000000000000616,,
185,Dominica,7002499000000000000499,,
186,Tonga,7002465000000000000465,,
187,"Micronesia, Federated States of",7002327000000000000327,,
9999999,* Anguilla*,7002288000000000000288,,
9999999,* Cook Islands*,7002283000000000000283,,
188,Sao Tome and Principe S?o Tom‚ and Pr¡ncipe,7002261000000000000261,,
189,Palau,7002213000000000000213,,
190,Marshall Islands,7002198000000000000198,,
191,Kiribati,7002176000000000000176,,
192,Nauru,7002121000000000000121,,
9999999,* Montserrat*,700164000000000000064,,
193,Tuvalu,700140000000000000040,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
#VALUE!:blankIndicator:,#VALUE!:blankIndicator:,#VALUE!:blankIndicator:,#VALUE!:blankIndicator:,#VALUE!:blankIndicator:
