Country,Median Age (by CIA),Median Age (Male) (by CIA),Median Age (Female) (by CIA)
Monaco,48.9,48,49.9
Japan,44.6,42.9,46.5
Italy,44.3,43,45.6
Germany,43.7,42.3,45.3
Jersey,43.4,42.5,44.2
Hong Kong,42.8,42.4,43.2
Guernsey,42.7,41.8,43.5
Austria,42.6,41.5,43.6
Finland,41.6,40.2,43
Greece,42.2,41.1,43.2
San Marino,42.1,41.3,42.8
Slovenia,42.1,40.4,43.7
Belgium,42,40.7,43.3
Sweden,41.7,40.6,42.9
Bermuda,41.6,40.2,43.1
Bulgaria,41.6,39.4,43.9
Spain,41.5,40.1,42.9
Liechtenstein,41.4,40.8,41.9
Hungary,41.3,39.1,43.2
Switzerland,41.3,40.3,42.4
Croatia,41.2,39.3,43
Serbia,41.1,39.4,42.9
Netherlands,40.8,40,41.6
Denmark,40.7,39.8,41.6
Canada,40.7,39.6,41.8
United Kingdom,40.5,39.4,41.5
Isle of Man,40.4,39.3,41.6
Czech Republic,40.4,38.9,42.2
Latvia,40.4,37.4,43.5
Bosnia and Herzegovina,40.3,39.1,41.5
Estonia,40.2,36.7,43.7
Andorra,39.9,40.2,39.6
Saint Barthelemy,39.8,39.9,39.6
"Virgin Islands, U.S.",39.8,39.2,40.2
Norway,39.7,38.8,40.5
Malta,39.7,38.5,41.1
France,39.7,38.2,41.2
Portugal,39.7,37.6,41.9
Lithuania,39.7,37.1,42.3
Ukraine,39.7,36.5,42.9
Singapore,39.6,39.1,40
Luxembourg,39.3,38.3,40.3
Belarus,38.8,35.8,41.8
Georgia,38.8,36.3,41.3
Russia,38.5,35.3,41.7
* Cayman Islands*,38.4,38,38.9
* Saint Helena*,38.2,38.2,38.1
Poland,38.2,36.5,40
Romania,38.1,36.7,39.6
* Aruba*,38,36.2,39.7
"Korea, South",37.9,36.5,39.1
Cuba,37.8,37.1,38.6
Australia,37.5,36.8,38.3
Slovakia,37.3,35.7,38.9
Montenegro,37.2,35.9,38.8
* Faroe Islands*,37.1,36.5,37.9
* Taiwan*,37,36.4,37.7
New Zealand,36.8,36,37.6
United States,36.9,35.5,38.1
* Puerto Rico*,36.7,34.9,38.4
Barbados,36.2,35.1,37.2
* Macau*,35.6,36.3,35
Ireland,35.4,34.9,35.8
Iceland,35.4,34.9,35.8
Macedonia,35.4,34.4,36.4
* Saint Pierre and Miquelon*,35.2,34.6,35.7
China,35.2,34.5,35.8
Moldova,35,33.1,37.1
Cyprus,34.5,33.2,36.3
* Netherlands Antilles*,34.1,32.1,35.8
"Korea, North",33.9,32.5,35.2
Thailand,33.7,32.9,34.7
Uruguay,33.7,32.3,35.1
* Greenland*,33.5,34.9,31.9
* Gibraltar*,33.1,32.2,34.1
* Anguilla*,33,31.6,34.3
* British Virgin Islands*,32.6,32.7,32.5
Trinidad and Tobago,32.6,32.1,33.1
Palau,32.4,32.2,33
Mauritius,32.3,31.4,33.2
Seychelles,32,31.5,32.5
Armenia,31.9,29.1,34.7
Chile,31.7,30.7,32.8
Saint Kitts and Nevis,31.5,31.5,31.5
Sri Lanka,31.3,30.3,32.2
* Cook Islands*,31.2,30.5,31.9
Qatar,30.8,32.9,25.4
* Saint Martin*,30.8,29.7,31.6
Brazil,30.5,29.6,31.4
Bahrain,30.4,33.5,27.1
Saint Lucia,30.3,29.3,31.4
Dominica,30.3,29.8,30.8
Argentina,30.3,29.2,31.3
United Arab Emirates,30.2,32.1,24.8
Albania,30.2,29.6,31
Antigua and Barbuda,30,28.5,31.4
"Bahamas, The",29.9,28.8,31
Kazakhstan,29.9,28.4,31.6
Tunisia,29.7,29.1,30.3
* French Polynesia*,29.5,29.8,29.2
Saint Vincent and the Grenadines,29.5,29.6,29.4
Lebanon,29.4,28.3,30.5
* Northern Mariana Islands*,29.3,29.9,29.1
* Guam*,29.3,28.9,29.7
Israel,29.3,28.6,30
* Montserrat*,29.1,28.8,29.5
* New Caledonia*,29,28.5,29.5
* Turks and Caicos Islands*,28,28.8,27.3
Azerbaijan,28.5,26.9,30.3
Costa Rica,28.4,27.9,28.9
*World*,28.4,27.7,29
Suriname,28.3,27.9,28.7
Grenada,28.2,28.2,28.2
Brunei,28.1,28,28.2
Turkey,28.1,27.7,28.4
Indonesia,27.9,27.4,28.4
* Wallis and Futuna*,27.9,26.8,29.2
Iran,27.6,27.4,27.4
Colombia,27.6,26.7,28.8
Vietnam,27.4,26.4,28.5
Panama,27.2,26.9,27.6
Algeria,27.1,26.8,27.3
Mexico,26.7,25.6,27.7
Burma,26.5,26,27.1
Morocco,26.5,25.9,27
Kuwait,26.4,28.2,22.9
Peru,26.4,26.1,26.7
* Kosovo*,26.3,25.8,26.8
Maldives,25.9,26.6,24.7
India,25.9,25.4,26.6
Fiji,25.8,25.3,26.4
Mongolia,25.8,25.3,26.2
Venezuela,25.8,25.1,26.5
Ecuador,25.3,24.7,25.9
Dominican Republic,25.2,25,25.3
Uzbekistan,25.2,24.7,25.8
Malaysia,25.1,24.5,25.8
Paraguay,24.9,24.7,25.1
Turkmenistan,24.8,24.4,25.3
South Africa,24.7,24.4,25
Kyrgyzstan,24.7,23.8,25.6
Vanuatu,24.6,24.5,24.6
Bhutan,24.3,25,23.7
Libya,24.2,24.3,24.2
Egypt,24,23.8,24.3
Oman,23.9,25.4,22.1
Jamaica,23.9,23.4,24.5
El Salvador,23.9,22.5,25.3
Tuvalu,23.9,22.4,26
Guyana,23.6,22.9,24.3
Bangladesh,23.5,23.2,23.8
* American Samoa*,23.4,23.3,23.6
Tonga,22.7,22.3,23.2
Philippines,22.7,22.2,23.2
Lesotho,22.6,22.6,22.7
Nicaragua,22.5,22.1,22.9
Cambodia,22.5,21.8,23.2
"Micronesia, Federated States of",22.4,21.8,22.9
Cape Verde,22.3,21.4,23.1
Timor-Leste,22.2,22.2,22.2
Tajikistan,22.2,21.7,22.7
Bolivia,22.2,21.5,22.9
Botswana,22,21.8,22.1
Kiribati,22.2,21.4,23
Nauru,22,21.4,22.6
Samoa,21.8,21.7,21.9
Jordan,21.8,21.6,22.1
Saudi Arabia,21.6,22.9,20
Papua New Guinea,21.6,21.9,21.3
Marshall Islands,21.5,21.5,21.5
Syria,21.5,21.3,21.7
Namibia,21.4,21.3,21.4
Djibouti,21.4,19.8,22.8
Pakistan,21.2,21.3,21.2
Nepal,21.2,20.2,22.1
Ghana,21.1,20.8,21.3
* West Bank*,20.9,20.7,21.1
Belize,20.7,20.5,20.9
Honduras,20.7,20.3,21.1
Iraq,20.6,20.5,20.8
Haiti,20.5,20,20.9
* Western Sahara*,20.1,19.7,20.6
Swaziland,20.1,19.7,20.5
Solomon Islands,20,19.8,20.2
Guatemala,19.7,19.1,20.4
Laos,19.5,19.2,19.8
Cote d'Ivoire,19.4,19.6,19.3
Guinea-Bissau,19.4,18.8,19.9
Cameroon,19.3,19.2,19.4
Sudan,19.3,19.1,19.5
Mauritania,19.3,18.5,20.2
Central African Republic,19.1,18.7,19.5
Nigeria,19.1,19,19.2
Sierra Leone,19,18.6,19.5
Equatorial Guinea,19,18.4,19.6
Comoros,18.9,18.6,19.2
Togo,18.9,18.5,19.4
Kenya,18.8,18.7,18.9
Senegal,18.7,18.5,18.9
Gabon,18.6,18.4,18.9
Rwanda,18.6,18.4,18.9
Guinea,18.5,18.3,18.8
Eritrea,18.5,18.2,18.9
Liberia,18.4,18.3,18.4
Tanzania,18.3,18,18.5
Madagascar,18.1,17.8,18.3
Angola,18,18,18
"Gambia, The",18,17.9,18.2
Afghanistan,18,17.9,18.1
Zimbabwe,17.8,16.7,18.9
Somalia,17.6,17.4,17.7
* Gaza Strip*,17.5,17.4,17.7
Mozambique,17.5,17.1,17.9
Sao Tome and Principe,17.5,17,17.9
Benin,17.3,16.9,17.8
* Mayotte*,17.3,18.1,16.5
Zambia,17.2,17.1,17.3
Malawi,17.1,17,17.3
Ethiopia,16.8,16.5,17.2
Burkina Faso,16.8,16.6,17
"Congo, Republic of the",16.9,16.7,17.2
Burundi,16.8,16.6,17
Chad,16.6,15.5,17.8
"Congo, Democratic Republic of the",16.5,16.3,16.7
Yemen,16.4,16.8,16
Mali,16.2,15.8,16.6
Niger,15.2,15,15.4
Uganda,15,14.9,15.1
